	GeneID	count	gene_symbol
25882	729240	3	PRR20C
25883	729241	1	RPL21P117
25884	729246	2	PRR20D
25885	729249	3	KLHL2P1
25886	729250	7	PRR20E
25887	729254	1	LOC729254
25888	729257	1	RPS24P4
25889	729258	1	RPS11P6
25890	729259	1	RPL17P43
25891	729262	4	NUTM2B
25892	729264	3	TP53TG3D
25893	729274	1	RPS2P53
25894	729277	1	RPL23AP47
