candidate_gene,neighbors,neighbors_in_seed,neighbors_divide_by_interactome_size,neighbors_in_seed_divide_by_seed_size,ratios,p_value,fdr_bh
EGF,147,4,0.007896433175762784,0.039603960396039604,5.01542399137873,0.002,0.0037139437462597245
USP11,142,4,0.007627847013321874,0.039603960396039604,5.192023427694882,0.002,0.0037139437462597245
SDC2,158,4,0.008487322733132789,0.039603960396039604,4.66624890337135,0.002,0.0037139437462597245
FZR1,163,4,0.0087559088955737,0.039603960396039604,4.523112433942781,0.002,0.0037139437462597245
BUB1,178,4,0.009561667382896433,0.039603960396039604,4.141951273779063,0.002,0.0037139437462597245
KPNA1,140,4,0.007520412548345509,0.039603960396039604,5.266195190947666,0.002,0.0037139437462597245
EIF4A1,144,4,0.007735281478298238,0.039603960396039604,5.11991199119912,0.002,0.0037139437462597245
TEPSIN,158,4,0.008487322733132789,0.039603960396039604,4.66624890337135,0.002,0.0037139437462597245
SORBS1,71,3,0.003813923506660937,0.0297029702970297,7.788035141542323,0.002,0.0037139437462597245
TAF6,90,3,0.004834550923936399,0.0297029702970297,6.143894389438944,0.002,0.0037139437462597245
GTF3C4,72,3,0.003867640739149119,0.0297029702970297,7.67986798679868,0.002,0.0037139437462597245
COPS2,110,3,0.005908895573700043,0.0297029702970297,5.026822682268226,0.002,0.0037139437462597245
MED31,111,3,0.0059626128061882255,0.0297029702970297,4.9815359914369814,0.002,0.0037139437462597245
ECPAS,116,3,0.006231198968629136,0.0297029702970297,4.766814612495732,0.002,0.0037139437462597245
DOCK7,83,3,0.004458530296519123,0.0297029702970297,6.6620541572229515,0.002,0.0037139437462597245
NFIC,59,3,0.00316931671680275,0.0297029702970297,9.37204228897466,0.002,0.0037139437462597245
MYCN,83,3,0.004458530296519123,0.0297029702970297,6.6620541572229515,0.002,0.0037139437462597245
HOMER1,71,3,0.003813923506660937,0.0297029702970297,7.788035141542323,0.002,0.0037139437462597245
MYO5C,104,3,0.00558659217877095,0.0297029702970297,5.316831683168316,0.002,0.0037139437462597245
DNAJA3,107,3,0.005747743876235496,0.0297029702970297,5.167761635976682,0.002,0.0037139437462597245
MTF1,118,3,0.0063386334336055,0.0297029702970297,4.68602114448733,0.002,0.0037139437462597245
PLCZ1,92,3,0.004941985388912763,0.0297029702970297,6.010331467929401,0.002,0.0037139437462597245
PLCD4,88,3,0.004727116458960034,0.0297029702970297,6.283528352835284,0.002,0.0037139437462597245
STAT4,71,3,0.003813923506660937,0.0297029702970297,7.788035141542323,0.002,0.0037139437462597245
EIF3C,115,3,0.006177481736140954,0.0297029702970297,4.808265174343521,0.002,0.0037139437462597245
WAS,126,3,0.006768371293510958,0.0297029702970297,4.388495992456388,0.002,0.0037139437462597245
POU1F1,99,3,0.005318006016330039,0.0297029702970297,5.585358535853585,0.002,0.0037139437462597245
PVR,109,3,0.005855178341211861,0.0297029702970297,5.072940321555091,0.002,0.0037139437462597245
