genes,final_score,initial_score,degree_in_disease,degree_in_background,degree_in_disease_normalized,publications,final_rank,source
XRCC5,0.0012991941589504787,0.0,0.09233176838810642,0.012999570262140095,7.10268,582.0,222,first neighbor
HNRNPK,0.0012946242967252154,0.0,0.0892018779342723,0.02068113450795015,4.3132,480.0,223,first neighbor
UBE3A,0.0012934586303467188,0.0,0.07511737089201878,0.013912763214439192,5.39917,352.0,224,first neighbor
NANOG,0.00129063045506368,0.0,0.0782472613458529,0.013912763214439192,5.62414,329.0,225,first neighbor
TERF2,0.0012836653243933171,0.0,0.08607198748043819,0.015792866351525568,5.45005,291.0,226,first neighbor
CTBP1,0.0012830325759025814,0.0,0.08450704225352113,0.009830253545337344,8.59663,272.0,227,first neighbor
EPHA2,0.001253853452951906,0.0,0.07042253521126761,0.008863343360550065,7.94537,390.0,228,first neighbor
EHMT2,0.0012516541750840228,0.0,0.07981220657276995,0.009669101847872797,8.25436,286.0,229,first neighbor
RBBP4,0.0012479121225337775,0.0,0.08607198748043819,0.011764073914911903,7.31651,352.0,230,first neighbor
CSF1R,0.0012450266687814297,0.0,0.06885758998435054,0.005479157713794585,12.56719,250.0,231,first neighbor
IRF1,0.0012433985047076474,0.0,0.0892018779342723,0.008863343360550065,10.06413,367.0,232,first neighbor
VDR,0.0012381488147010893,0.0,0.08607198748043819,0.009991405242801892,8.6146,2316.0,233,first neighbor
MTOR,0.0012354338421609636,0.0,0.08294209702660407,0.013644177051998281,6.07894,2332.0,234,first neighbor
DDX5,0.0012326186503035966,0.0,0.08450704225352113,0.011226901590030081,7.52719,396.0,235,first neighbor
RPL10,0.0012308225647592597,0.0,0.07668231611893583,0.021003437902879243,3.65094,211.0,236,first neighbor
MAP2K4,0.0012269009550599473,0.0290135396518375,0.05320813771517997,0.005049419853889127,10.53748,204.0,237,seed
RET,0.001224595697338856,0.0,0.07355242566510173,0.0063386334336055,11.60383,949.0,238,first neighbor
SF3B1,0.0012205449137543674,0.0164410058027079,0.06103286384976526,0.012623549634722819,4.83484,402.0,239,seed
BIRC5,0.0012128529856363986,0.0,0.08137715179968702,0.011495487752470992,7.07905,1320.0,240,first neighbor
YES1,0.0012070289270096114,0.0,0.07668231611893583,0.009937688010313708,7.71631,205.0,241,first neighbor
THRB,0.0012014303878547065,0.0,0.07042253521126761,0.006231198968629136,11.3016,291.0,242,first neighbor
DBN1,0.0011972358384971672,0.0,0.07668231611893583,0.012354963472281908,6.2066,163.0,243,first neighbor
TEK,0.0011936237197547757,0.0,0.06259780907668232,0.005640309411259132,11.09829,291.0,244,first neighbor
RPS2,0.0011910123768543242,0.0,0.06572769953051644,0.016813493768801032,3.90922,233.0,245,first neighbor
MAP2K1,0.001182512916699911,0.0,0.07668231611893583,0.00778899871078642,9.84495,490.0,246,first neighbor
SP3,0.001177262805287458,0.0,0.07668231611893583,0.011549204984959175,6.63962,218.0,247,first neighbor
TP63,0.001173546016222176,0.0,0.08607198748043819,0.009561667382896433,9.00178,917.0,248,first neighbor
FLT4,0.0011730622537116354,0.0,0.06416275430359937,0.005694026643747314,11.26843,265.0,249,first neighbor
SMC3,0.0011725268090644072,0.0,0.07981220657276995,0.013644177051998281,5.84954,219.0,250,first neighbor
TFAP2A,0.0011624302713649042,0.0,0.0782472613458529,0.014181349376880103,5.51762,267.0,251,first neighbor
